x,y,hh_id,hh_pop,villagename,latitude,longitude,region_nam,region_cod,constituen,constitue1,ea_type,ea_subtype,ea_type_co,ea_subty_1,ea_code,ea,id2,sq_m,sq_km,ha,status,ea_no,_a_subtype,region,constitue,_a_no,hh_size,pop_size,comments,history,eanumber,arm2,eanumber2,eas_studya,eas_stud_1,eas_stud_2,eas_stud_3,eas_stud_4,eas_stud_5,eas_stud_6,eas_stud_7,eas_stud_8,eas_stud_9,eas_stud10,eas_stud11,eas_stud12,eas_stud13,eas_stud14,eas_stud15,eas_stud16,eas_stud17,eas_stud18,eas_stud19,eas_stud20,eas_stud21,eas_stud22,eas_stud23,eas_stud24,eas_stud25,eas_stud26,eas_stud27,eas_stud28,ea_actual,intarm_actual,eas_stud31,eas_stud32,eas_stud33,eas_stud34,eas_stud35,eas_stud36,eas_stud37
23.64431,-18.257399,ZA07-0601-06,2,Sangwali,-18.257401,23.64431,Caprivi,1,5,Linyanti,Rural,,99,,41,10599041,253,917103.56,.92000002,91.709999,,10599041,Communal Land,Caprivi,Linyanti,10599041,73,257,,,0,0,,125,Caprivi,1,5,Linyanti,Rural,,99,,41,10599041,253,917103.5600000001,.92000002,91.709999,,Communal Land,Caprivi,Linyanti,10599041,73,257,,,1,0,0,0,126,,,,Communal Land,10599041,0,0,,matched (3)
23.643927,-18.258102,ZA07-0602-05,7,Sangwali,-18.258101,23.64393,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.643806,-18.258102,ZA07-0603-04,3,Sheshe,-18.258101,23.64381,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.643787,-18.258284,ZA07-0604-03,7,Sheshe,-18.25828,23.643789,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.643141,-18.256588,ZA07-0605-02,6,Sangwali,-18.25659,23.643141,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.643648,-18.25605,ZA07-0606-01,4,Sangwali,-18.25605,23.64365,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.642939,-18.256342,ZA07-0607-10,7,Sangwali,-18.25634,23.642941,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.642572,-18.256954,ZA07-0608-09,6,Sangwali,-18.25695,23.64257,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.642967,-18.257458,ZA07-0609-08,3,Sangwali,-18.25746,23.642969,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.642876,-18.257328,ZA07-0610-05,3,Sangwali,-18.25733,23.642879,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.64307,-18.257271,ZA07-0611-04,3,Sangwali,-18.257271,23.64307,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,10599039,Communal Land,Caprivi,Linyanti,10599039,76,198,,,10599039,4,10599039,123,Caprivi,1,5,Linyanti,Rural,,99,,39,10599039,251,888667.88,.88999999,88.870003,,Communal Land,Caprivi,Linyanti,10599039,76,198,,,0,6,30.30303,30,124,RO49,RO,49,Communal Land,10599039,10599039,4,10599039,matched (3)
23.642538,-18.25931,ZA07-0612-03,5,Sangwali,-18.25931,23.64254,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,10599040,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,,124,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,0,0,125,,,,Communal Land,10599040,0,0,,matched (3)
23.643051,-18.259192,ZA07-0613-02,6,Sangwali,-18.25919,23.643049,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,10599040,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,,124,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,0,0,125,,,,Communal Land,10599040,0,0,,matched (3)
23.643436,-18.25922,ZA07-0614-01,4,Sangwali,-18.25922,23.64344,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,10599040,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,,124,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,0,0,125,,,,Communal Land,10599040,0,0,,matched (3)
23.643894,-18.259367,ZA07-0615-10,8,Sangwali,-18.259371,23.64389,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,10599040,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,,124,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,0,0,125,,,,Communal Land,10599040,0,0,,matched (3)
23.64333,-18.259811,ZA07-0616-09,3,Sangwali,-18.259809,23.64333,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,10599040,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,,124,Caprivi,1,5,Linyanti,Rural,,99,,40,10599040,252,1146918.4,1.15,114.69,,Communal Land,Caprivi,Linyanti,10599040,63,156,,,0,0,0,0,125,,,,Communal Land,10599040,0,0,,matched (3)
